KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05002639 : Chalfont St Giles,"7,118","6,672",241,27
E05002640 : Chesham Bois and Weedon Hill,"5,235","4,779",286,23
"E05002641 : Cholesbury, The Lee and Bellingdon","2,304","2,265",18,1
E05002642 : Gold Hill,"2,236","2,069",95,4
E05002643 : Great Missenden,"2,312","2,224",32,8
E05002644 : Hilltop and Townsend,"4,541","4,049",369,16
E05002645 : Holmer Green,"4,039","3,891",67,16
E05002646 : Little Chalfont,"4,820","4,208",430,33
E05002647 : Little Missenden,"2,468","2,359",41,14
E05002648 : Newtown,"2,474","1,921",446,31
E05002649 : Penn and Coleshill,"4,510","4,256",130,13
E05002650 : Prestwood and Heath End,"6,597","6,372",103,24
E05002651 : Ridgeway,"2,604","2,249",241,43
E05002652 : St Mary's and Waterside,"4,875","4,444",227,49
E05002653 : Seer Green,"2,311","2,227",37,4
E05002654 : Vale,"2,139","1,783",269,17
E05002655 : Beaconsfield North,"5,104","4,712",257,10
E05002656 : Beaconsfield South,"3,789","3,382",223,47
E05002657 : Beaconsfield West,"3,188","2,823",250,19
E05002658 : Burnham Beeches,"1,310","1,134",137,9
E05002659 : Burnham Church,"5,055","4,539",279,78
E05002660 : Burnham Lent Rise,"4,476","3,925",349,79
E05002661 : Denham North,"2,939","2,618",202,51
E05002662 : Denham South,"3,524","3,001",340,48
E05002663 : Dorney and Burnham South,"1,541","1,259",220,16
E05002664 : Farnham Royal,"5,499","4,595",674,44
E05002665 : Gerrards Cross East and Denham South West,"1,957","1,539",326,18
E05002666 : Gerrards Cross North,"3,195","2,761",306,13
E05002667 : Gerrards Cross South,"3,541","2,490",807,32
E05002668 : Hedgerley and Fulmer,"1,358","1,269",55,8
E05002669 : Iver Heath,"4,945","4,151",589,49
E05002670 : Iver Village and Richings Park,"5,301","4,052",964,66
E05002671 : Stoke Poges,"5,225","4,071",896,59
E05002672 : Taplow,"1,669","1,543",84,13
E05002673 : Wexham and Iver West,"3,251","2,501",575,50
E05002674 : Abbey,"10,365","6,426","2,834",642
E05002675 : Bledlow and Bradenham,"3,005","2,880",53,25
E05002676 : Booker and Cressex,"4,974","3,720",733,340
E05002677 : Bourne End-cum-Hedsor,"5,531","5,229",173,28
E05002678 : Bowerdean,"5,574","2,568","2,316",443
E05002679 : Chiltern Rise,"5,484","5,048",210,109
E05002680 : Disraeli,"5,891","3,836","1,403",410
E05002681 : Downley and Plomer Hill,"5,278","4,557",465,104
E05002682 : Flackwell Heath and Little Marlow,"7,403","7,038",154,54
E05002683 : Greater Hughenden,"8,362","7,956",225,41
E05002684 : Greater Marlow,"5,272","4,941",154,45
E05002685 : Hambleden Valley,"2,648","2,547",32,27
E05002686 : Hazlemere North,"4,923","4,555",171,69
E05002687 : Hazlemere South,"4,700","4,347",204,42
E05002688 : Icknield,"3,193","3,077",54,19
"E05002689 : Lacey Green, Speen and the Hampdens","2,859","2,719",41,36
E05002690 : Marlow North and West,"8,799","8,369",180,62
E05002691 : Marlow South East,"5,526","5,151",148,69
E05002692 : Micklefield,"5,807","4,120",760,571
E05002693 : Oakridge and Castlefield,"9,406","3,395","4,764",796
E05002694 : Ryemead,"7,088","5,599",706,390
E05002695 : Sands,"6,214","4,129","1,455",315
E05002696 : Stokenchurch and Radnage,"5,554","5,251",126,70
E05002697 : Terriers and Amersham Hill,"9,181","6,873","1,386",499
E05002698 : Totteridge,"6,562","4,604","1,133",470
E05002699 : The Risboroughs,"8,101","7,716",163,58
E05002700 : The Wooburns,"5,261","4,864",157,83
E05002701 : Tylers Green and Loudwater,"8,683","7,962",385,117
E05003920 : Devonshire,"13,167","11,920",602,154
E05003921 : Hampden Park,"10,591","9,949",289,117
E05003922 : Langney,"10,706","10,199",195,71
E05003923 : Meads,"10,725","9,977",412,90
E05003924 : Old Town,"11,053","10,621",192,31
E05003925 : Ratton,"9,694","9,018",410,59
E05003926 : St Anthony's,"11,168","10,768",183,36
E05003927 : Sovereign,"11,844","11,187",275,104
E05003928 : Upperton,"10,464","9,869",237,121
E05003929 : Ashdown,"6,245","5,990",112,40
E05003930 : Baird,"4,838","4,612",58,49
E05003931 : Braybrooke,"5,311","4,965",86,67
E05003932 : Castle,"6,987","6,441",229,102
E05003933 : Central St Leonards,"7,132","6,153",438,221
E05003934 : Conquest,"4,969","4,601",208,32
E05003935 : Gensing,"6,591","5,936",264,134
E05003936 : Hollington,"6,099","5,805",71,66
E05003937 : Maze Hill,"5,416","5,099",138,47
E05003938 : Old Hastings,"5,862","5,644",49,54
E05003939 : Ore,"5,195","4,972",61,63
E05003940 : St Helens,"4,973","4,794",59,14
E05003941 : Silverhill,"4,806","4,512",112,29
E05003942 : Tressell,"5,317","5,090",56,37
E05003943 : West St Leonards,"5,164","4,932",84,51
E05003944 : Wishing Tree,"5,349","5,085",101,59
E05003945 : Barcombe and Hamsey,"2,105","2,061",13,1
E05003946 : Chailey and Wivelsfield,"5,068","4,952",44,13
E05003947 : Ditchling and Westmeston,"2,424","2,374",12,2
E05003948 : East Saltdean and Telscombe Cliffs,"7,477","7,117",175,37
E05003949 : Kingston,"2,106","2,036",28,14
E05003950 : Lewes Bridge,"4,778","4,591",87,15
E05003951 : Lewes Castle,"4,817","4,591",91,26
E05003952 : Lewes Priory,"7,702","7,333",137,31
E05003953 : Newhaven Denton and Meeching,"8,205","7,942",103,32
E05003954 : Newhaven Valley,"4,027","3,908",36,20
E05003955 : Newick,"2,457","2,424",5,1
E05003956 : Ouse Valley and Ringmer,"6,422","6,272",44,22
E05003957 : Peacehaven East,"5,011","4,799",77,39
E05003958 : Peacehaven North,"4,715","4,484",89,46
E05003959 : Peacehaven West,"4,341","4,162",81,34
"E05003960 : Plumpton, Streat, East Chiltington and St John (Without)","2,276","2,236",21,2
E05003961 : Seaford Central,"4,869","4,648",136,15
E05003962 : Seaford East,"4,680","4,604",32,4
E05003963 : Seaford North,"5,169","5,050",48,25
E05003964 : Seaford South,"4,242","4,081",84,15
E05003965 : Seaford West,"4,611","4,494",57,22
E05003966 : Battle Town,"5,312","5,166",51,25
E05003967 : Brede Valley,"4,715","4,632",20,11
E05003968 : Central,"5,586","5,214",187,47
E05003969 : Collington,"4,360","4,252",40,12
E05003970 : Crowhurst,"2,686","2,621",23,4
E05003971 : Darwell,"5,220","5,110",38,9
E05003972 : Eastern Rother,"4,812","4,739",30,6
E05003973 : Ewhurst and Sedlescombe,"2,606","2,511",41,20
E05003974 : Kewhurst,"4,707","4,613",36,8
E05003975 : Marsham,"3,948","3,820",37,19
E05003976 : Old Town,"3,933","3,788",62,29
E05003977 : Rother Levels,"4,646","4,591",30,1
E05003978 : Rye,"4,255","4,152",50,6
E05003979 : Sackville,"4,446","4,225",115,25
E05003980 : St Marks,"4,516","4,388",53,8
E05003981 : St Michaels,"4,930","4,735",94,32
E05003982 : St Stephens,"4,911","4,784",58,2
E05003983 : Salehurst,"4,602","4,484",60,9
E05003984 : Sidley,"5,718","5,525",54,24
E05003985 : Ticehurst and Etchingham,"4,679","4,601",24,8
E05003986 : Alfriston,"2,321","2,284",10,3
E05003987 : Buxted and Maresfield,"5,534","5,431",32,13
E05003988 : Chiddingly and East Hoathly,"3,220","3,145",29,6
E05003989 : Cross in Hand/Five Ashes,"2,472","2,397",35,6
E05003990 : Crowborough East,"5,337","5,141",90,30
E05003991 : Crowborough Jarvis Brook,"2,645","2,580",33,4
E05003992 : Crowborough North,"5,801","5,580",102,22
E05003993 : Crowborough St. Johns,"2,324","2,269",29,1
E05003994 : Crowborough West,"4,844","4,720",64,10
E05003995 : Danehill/Fletching/Nutley,"5,346","5,205",53,19
E05003996 : East Dean,"2,258","2,212",16,7
E05003997 : Forest Row,"5,278","5,074",88,14
E05003998 : Framfield,"2,741","2,702",7,3
E05003999 : Frant/Withyham,"5,274","5,156",32,5
E05004000 : Hailsham Central and North,"5,630","5,500",74,19
E05004001 : Hailsham East,"2,890","2,806",41,9
E05004002 : Hailsham South and West,"8,566","8,344",111,22
E05004003 : Hartfield,"2,639","2,590",17,5
E05004004 : Heathfield East,"2,523","2,486",10,7
E05004005 : Heathfield North and Central,"8,102","7,929",88,15
E05004006 : Hellingly,"5,940","5,749",95,26
E05004007 : Herstmonceux,"2,852","2,820",7,2
E05004008 : Horam,"2,642","2,589",24,3
E05004009 : Mayfield,"2,614","2,535",41,12
E05004010 : Ninfield and Hooe with Wartling,"2,453","2,426",8,1
E05004011 : Pevensey and Westham,"9,467","9,225",112,22
E05004012 : Polegate North,"5,220","5,092",67,11
E05004013 : Polegate South,"2,435","2,389",24,4
E05004014 : Rotherfield,"2,433","2,387",12,7
E05004015 : Uckfield Central,"2,990","2,907",52,7
E05004016 : Uckfield New Town,"2,776","2,684",59,5
E05004017 : Uckfield North,"5,521","5,389",78,6
E05004018 : Uckfield Ridgewood,"3,206","3,123",32,3
E05004019 : Wadhurst,"5,181","5,027",57,7
E05004020 : Willingdon,"7,440","7,280",90,7
E05004430 : Basing,"8,446","8,020",228,56
E05004431 : Baughurst and Tadley North,"5,360","5,229",52,11
E05004437 : Bramley and Sherfield,"5,877","5,673",83,29
E05004432 : Brighton Hill North,"5,335","4,884",238,86
E05004433 : Brighton Hill South,"5,458","5,073",184,70
E05004434 : Brookvale and Kings Furlong,"6,579","5,261","1,035",92
E05004435 : Buckskin,"6,778","6,317",219,83
"E05004436 : Burghclere, Highclere and St Mary Bourne","5,839","5,699",40,14
E05004438 : Chineham,"9,239","8,527",400,107
E05004439 : East Woodhay,"2,914","2,835",42,9
E05004440 : Eastrop,"5,534","4,490",777,77
E05004441 : Grove,"5,875","5,421",290,61
E05004442 : Hatch Warren and Beggarwood,"9,284","8,595",353,91
E05004443 : Kempshott,"6,827","6,508",204,37
E05004444 : Kingsclere,"4,934","4,811",51,17
E05004445 : Norden,"8,939","7,797",678,213
E05004446 : Oakley and North Waltham,"6,624","6,481",46,24
"E05004447 : Overton, Laverstoke and Steventon","4,937","4,809",64,15
E05004448 : Pamber and Silchester,"4,480","4,375",48,12
E05004449 : Popley East,"5,891","5,091",462,188
E05004450 : Popley West,"5,358","4,603",384,209
E05004451 : Rooksdown,"3,580","3,172",183,103
E05004452 : Sherborne St John,"2,206","2,156",22,7
E05004453 : South Ham,"8,693","8,127",262,115
E05004454 : Tadley Central,"2,713","2,647",28,7
E05004455 : Tadley South,"5,889","5,708",74,31
E05004456 : Upton Grey and The Candovers,"2,796","2,743",23,9
E05004457 : Whitchurch,"5,234","5,135",41,10
E05004458 : Winklebury,"6,180","5,701",204,126
E05004459 : Alton Amery,"2,447","2,366",28,13
E05004460 : Alton Ashdell,"2,448","2,374",33,8
E05004461 : Alton Eastbrooke,"2,922","2,764",101,8
E05004462 : Alton Westbrooke,"3,007","2,851",82,12
E05004463 : Alton Whitedown,"3,001","2,910",32,15
E05004464 : Alton Wooteys,"2,373","2,239",102,8
E05004465 : Binsted and Bentley,"2,983","2,894",44,18
E05004466 : Bramshott and Liphook,"8,491","8,200",120,55
E05004467 : Clanfield and Finchdean,"4,854","4,762",51,1
E05004468 : Downland,"2,448","2,396",14,6
E05004469 : East Meon,"2,339","2,266",14,3
E05004470 : Four Marks and Medstead,"6,019","5,911",57,2
E05004471 : Froxfield and Steep,"2,847","2,759",30,4
E05004472 : Grayshott,"2,413","2,335",25,6
E05004473 : Headley,"5,613","5,425",93,18
E05004474 : Holybourne and Froyle,"2,873","2,793",28,15
E05004475 : Horndean Catherington and Lovedean,"2,394","2,357",14,2
E05004476 : Horndean Downs,"2,534","2,488",28,1
E05004477 : Horndean Hazleton and Blendworth,"2,452","2,408",23,2
E05004478 : Horndean Kings,"3,100","3,031",39,0
E05004479 : Horndean Murray,"2,462","2,377",32,9
E05004480 : Lindford,"2,791","2,694",40,17
E05004481 : Liss,"5,121","4,936",84,40
E05004482 : Petersfield Bell Hill,"2,474","2,374",53,8
E05004483 : Petersfield Causeway,"2,749","2,688",23,9
E05004484 : Petersfield Heath,"2,294","2,239",27,6
E05004485 : Petersfield Rother,"2,272","2,213",29,6
E05004486 : Petersfield St Marys,"2,744","2,672",32,2
E05004487 : Petersfield St Peters,"2,441","2,225",120,40
E05004488 : Ropley and Tisted,"2,202","2,163",8,3
E05004489 : Rowlands Castle,"2,530","2,471",14,0
E05004490 : Selborne,"2,249","2,208",13,4
E05004491 : The Hangers and Forest,"2,462","2,411",15,3
E05004492 : Whitehill Chase,"2,418","2,212",149,22
E05004493 : Whitehill Deadwater,"2,824","2,658",78,41
E05004494 : Whitehill Hogmoor,"2,336","2,237",41,22
E05004495 : Whitehill Pinewood,"3,349","3,103",104,69
E05004496 : Whitehill Walldown,"2,332","2,225",39,19
E05004497 : Bishopstoke East,"5,678","5,536",83,16
E05004498 : Bishopstoke West,"5,599","5,432",70,11
E05004499 : Botley,"5,083","4,905",87,11
E05004500 : Bursledon and Old Netley,"7,664","7,461",75,30
E05004501 : Chandler's Ford East,"4,789","4,469",177,32
E05004502 : Chandler's Ford West,"6,016","5,604",279,10
E05004503 : Eastleigh Central,"11,162","9,927",727,143
E05004504 : Eastleigh North,"8,181","7,611",335,57
E05004505 : Eastleigh South,"8,903","8,341",301,55
E05004506 : Fair Oak and Horton Heath,"8,909","8,709",103,18
E05004507 : Hamble-le-Rice and Butlocks Heath,"5,701","5,566",40,24
E05004508 : Hedge End Grange Park,"7,748","7,312",269,31
E05004509 : Hedge End St John's,"7,631","7,436",105,19
E05004510 : Hedge End Wildern,"5,411","5,154",161,22
E05004511 : Hiltingbury East,"5,103","4,774",200,14
E05004512 : Hiltingbury West,"5,528","5,018",281,44
E05004513 : Netley Abbey,"5,332","5,140",77,28
E05004514 : West End North,"5,001","4,784",129,13
E05004515 : West End South,"5,760","5,358",241,27
E05004516 : Fareham East,"7,462","7,121",168,31
E05004517 : Fareham North,"7,287","7,034",141,27
E05004518 : Fareham North-West,"7,401","7,146",103,29
E05004519 : Fareham South,"7,231","6,916",159,24
E05004520 : Fareham West,"6,438","6,221",108,19
E05004521 : Hill Head,"7,170","7,014",57,17
E05004522 : Locks Heath,"7,104","6,843",108,14
E05004523 : Park Gate,"7,811","7,576",126,23
E05004524 : Portchester East,"10,882","10,635",120,18
E05004525 : Portchester West,"6,907","6,734",97,8
E05004526 : Sarisbury,"7,385","7,090",127,23
E05004527 : Stubbington,"6,907","6,770",58,6
E05004528 : Titchfield,"7,280","7,017",105,30
E05004529 : Titchfield Common,"7,133","6,915",109,21
E05004530 : Warsash,"7,183","6,927",81,67
E05004531 : Alverstoke,"4,234","4,095",57,8
E05004532 : Anglesey,"3,702","3,545",54,54
E05004533 : Bridgemary North,"4,666","4,598",23,18
E05004534 : Bridgemary South,"4,734","4,577",78,31
E05004535 : Brockhurst,"5,144","4,947",78,14
E05004536 : Christchurch,"5,102","4,878",92,27
E05004537 : Elson,"4,644","4,515",58,9
E05004538 : Forton,"4,743","4,617",64,3
E05004539 : Grange,"5,477","5,246",61,72
E05004540 : Hardway,"5,709","5,514",82,19
E05004541 : Lee East,"6,059","5,863",66,22
E05004542 : Lee West,"4,801","4,657",40,20
E05004543 : Leesland,"4,951","4,785",56,26
E05004544 : Peel Common,"4,241","4,118",60,14
E05004545 : Privett,"4,270","4,162",48,8
E05004546 : Rowner and Holbrook,"4,798","4,410",87,212
E05004547 : Town,"5,347","5,158",69,35
E05004548 : Blackwater and Hawley,"4,473","4,102",208,76
E05004549 : Church Crookham East,"4,924","4,750",93,17
E05004550 : Church Crookham West,"5,292","5,111",69,24
E05004551 : Crondall,"4,202","3,965",93,35
E05004552 : Eversley,"2,708","2,624",32,5
E05004553 : Fleet Central,"5,594","5,181",261,26
E05004554 : Fleet Courtmoor,"4,637","4,444",74,14
E05004555 : Fleet North,"7,725","6,885",577,52
E05004556 : Fleet Pondtail,"4,592","4,443",80,12
E05004557 : Fleet West,"4,996","4,679",146,28
E05004558 : Frogmore and Darby Green,"5,642","5,266",194,61
E05004559 : Hartley Wintney,"4,999","4,867",52,8
E05004560 : Hook,"8,334","7,952",181,37
E05004561 : Long Sutton,"3,476","3,325",63,40
E05004562 : Odiham,"4,610","4,457",58,22
E05004563 : Yateley East,"5,075","4,878",116,14
E05004564 : Yateley North,"4,923","4,759",79,9
E05004565 : Yateley West,"4,831","4,667",72,26
E05004566 : Barncroft,"6,518","6,334",60,20
E05004567 : Battins,"7,062","6,838",64,44
E05004568 : Bedhampton,"8,835","8,534",139,38
E05004569 : Bondfields,"6,910","6,768",33,35
E05004570 : Cowplain,"9,353","9,143",94,22
E05004571 : Emsworth,"9,492","9,244",113,12
E05004572 : Hart Plain,"9,907","9,677",100,28
E05004573 : Hayling East,"9,002","8,795",68,27
E05004574 : Hayling West,"8,377","8,144",91,14
E05004575 : Purbrook,"9,171","8,936",79,43
E05004576 : St Faith's,"8,882","8,608",126,14
E05004577 : Stakes,"10,007","9,539",227,47
E05004578 : Warren Park,"7,619","7,432",56,26
E05004579 : Waterloo,"9,549","9,170",177,18
"E05004580 : Ashurst, Copythorne South and Netley Marsh","5,764","5,683",31,5
E05004581 : Barton,"5,454","5,337",44,8
E05004582 : Bashley,"2,731","2,682",15,8
E05004583 : Becton,"4,928","4,807",68,11
E05004584 : Boldre and Sway,"5,451","5,323",45,19
"E05004585 : Bramshaw, Copythorne North and Minstead","2,515","2,485",16,1
E05004586 : Bransgore and Burley,"5,622","5,515",32,13
E05004587 : Brockenhurst and Forest South East,"5,663","5,549",57,13
E05004588 : Buckland,"3,501","3,371",60,3
E05004589 : Butts Ash and Dibden Purlieu,"6,492","6,394",30,13
E05004590 : Dibden and Hythe East,"5,712","5,542",50,31
E05008932 : Downlands and Forest,"2,834","2,800",21,0
"E05004592 : Fawley, Blackfield and Langley","6,016","5,872",44,29
E05004593 : Fernhill,"6,279","6,107",69,22
E05008933 : Fordingbridge,"6,678","6,593",25,5
E05008934 : Forest North West,"2,535","2,508",11,3
E05004596 : Furzedown and Hardley,"3,526","3,408",29,20
E05004597 : Holbury and North Blackfield,"6,841","6,705",27,18
E05004598 : Hordle,"5,476","5,411",18,13
E05004599 : Hythe West and Langdown,"6,226","6,108",40,20
E05004600 : Lymington Town,"5,844","5,724",46,15
E05004601 : Lyndhurst,"3,029","2,931",38,15
E05004602 : Marchwood,"6,141","5,764",86,167
E05004603 : Milford,"4,838","4,759",36,2
E05004604 : Milton,"6,325","5,956",197,36
E05004605 : Pennington,"6,062","5,958",47,1
E05004606 : Ringwood East and Sopley,"2,792","2,746",21,1
E05004607 : Ringwood North,"6,172","6,059",36,9
E05004608 : Ringwood South,"6,045","5,907",63,11
E05004609 : Totton Central,"5,341","5,205",50,25
E05004610 : Totton East,"6,075","5,893",85,17
E05004611 : Totton North,"6,411","6,170",117,29
E05004612 : Totton South,"6,089","5,959",57,12
E05004613 : Totton West,"5,054","4,929",54,17
E05004614 : Cove and Southwood,"5,893","5,274",373,101
E05004615 : Empress,"6,871","6,046",596,62
E05004616 : Fernhill,"5,598","5,091",324,84
E05004617 : Grange,"6,329","5,059","1,030",81
E05004618 : Heron Wood,"6,093","5,654",222,81
E05004619 : Knellwood,"6,143","5,642",264,63
E05004620 : Manor Park,"6,719","5,553",899,72
E05004621 : Mayfield,"6,635","5,086","1,167",116
E05004622 : North Town,"7,244","6,504",390,135
E05004623 : Rowhill,"5,451","4,783",455,75
E05004624 : St. John's,"7,143","6,513",396,65
E05004625 : St. Mark's,"7,327","6,230",639,204
