KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05005937 : Shire Lodge,"1,814","1,161",479,349,268
E05005938 : Stanion and Corby Village,"1,191",758,341,229,176
E05005939 : Tower Hill,"1,769","1,145",545,379,224
E05005940 : Weldon and Gretton,"1,391","1,109",525,126,128
E05005941 : Abbey North,"3,907","2,315",714,824,637
E05005942 : Abbey South,"1,690","1,025",599,346,279
E05005943 : Badby,824,693,394,56,59
E05005944 : Barby and Kilsby,"1,362","1,125",604,140,81
E05005945 : Boughton and Pitsford,682,579,304,37,50
E05005946 : Brampton,742,529,297,29,156
E05005947 : Braunston,776,559,303,126,71
E05005948 : Brixworth,"2,349","1,872",748,187,247
E05005949 : Byfield,773,594,297,79,84
E05005950 : Clipston,823,606,304,73,124
E05005951 : Crick,745,573,272,91,68
E05005952 : Drayton,"2,508","1,676",669,400,392
E05005953 : Flore,820,640,355,78,92
E05005954 : Hill,"2,240","1,329",445,626,241
E05005955 : Long Buckby,"1,808","1,336",668,257,180
E05005956 : Moulton,"1,810","1,409",778,166,189
E05005957 : Ravensthorpe,768,609,336,54,89
E05005958 : Spratton,745,570,294,63,76
E05005959 : Walgrave,824,618,310,119,70
E05005960 : Weedon,"1,465","1,021",458,226,191
E05005961 : Welford,794,620,321,74,73
E05005962 : West Haddon and Guilsborough,903,697,302,86,95
E05005963 : Woodford,"1,558","1,117",451,219,207
E05005964 : Yelvertoft,731,576,310,56,81
E05005965 : Barnwell,799,582,300,71,116
E05005966 : Fineshade,903,614,333,141,114
E05005967 : Higham Ferrers Chichele,"1,455","1,081",464,194,159
E05005968 : Higham Ferrers Lancaster,"2,056","1,561",564,216,258
E05005969 : Irthlingborough John Pyel,"1,886","1,290",415,313,259
E05005970 : Irthlingborough Waterloo,"1,682","1,119",467,346,189
E05005971 : King's Forest,775,500,274,116,129
E05005972 : Lower Nene,845,595,336,84,146
E05005973 : Lyveden,874,629,323,111,117
E05005974 : Oundle,"2,383","1,569",880,334,405
E05005975 : Prebendal,883,675,384,98,88
E05005976 : Raunds Saxon,"1,950","1,453",596,217,254
E05005977 : Raunds Windmill,"1,605","1,223",572,237,135
E05005978 : Rushden Bates,"1,870","1,364",527,239,240
E05005979 : Rushden Hayden,"3,332","1,961",829,736,570
E05005980 : Rushden Pemberton,"2,777","2,077",930,441,231
E05005981 : Rushden Sartoris,"1,764","1,568",718,20,159
E05005982 : Rushden Spencer,"2,561","2,018",874,211,293
E05005983 : Stanwick,858,697,319,96,58
E05005984 : Thrapston Lakes,"1,906","1,364",512,255,257
E05005985 : Thrapston Market,"1,610","1,255",480,121,209
E05005986 : Woodford,888,642,322,140,85
E05005987 : All Saints,"3,432","2,174",845,198,"1,012"
E05005988 : Avondale Grange,"2,373","1,104",377,885,329
E05005989 : Barton,"1,994","1,772",909,66,128
E05008549 : Brambleside,"1,909","1,535",611,114,234
E05005991 : Burton Latimer,"3,077","2,278",943,406,327
E05005992 : Desborough Loatland,"2,426","1,726",591,301,309
E05005993 : Desborough St Giles,"1,964","1,617",805,124,193
E05005994 : Ise Lodge,"2,933","2,558","1,227",51,296
E05005995 : Northfield,"1,233",628,226,250,325
E05005996 : Pipers Hill,"2,277","1,585",818,434,211
E05008550 : Queen Eleanor and Buccleuch,"1,097",740,388,98,206
E05005998 : Rothwell,"3,366","2,346","1,106",478,489
E05005999 : St Michael's and Wicksteed,"3,425","2,079",899,763,492
E05006000 : St Peter's,"1,912","1,434",676,68,365
E05006001 : Slade,"2,457","1,852",684,255,261
E05006002 : Welland,"1,149",912,506,98,115
E05006003 : William Knibb,"2,677","1,222",459,598,756
E05008824 : Abington,"4,214","2,311",850,437,"1,388"
E05008825 : Billing,"3,401","2,205",774,756,344
E05008826 : Boothville,"1,638","1,494",769,13,112
E05008827 : Brookside,"2,155","1,027",377,760,339
E05008828 : Castle,"6,892","1,925",664,"1,883","2,773"
E05008829 : Delapre and Briar Hill,"6,136","3,344","1,034","1,288","1,352"
E05008830 : East Hunsbury,"4,144","3,227","1,017",96,783
E05008831 : Eastfield,"2,292","1,324",564,681,229
E05008832 : Headlands,"1,861","1,215",463,441,170
E05008833 : Kings Heath,"2,108",771,219,"1,116",160
E05008834 : Kingsley,"2,296","1,555",645,321,395
E05008835 : Kingsthorpe,"2,111","1,755",968,94,241
E05008836 : Nene Valley,"4,106","3,300","1,020",282,465
E05008837 : New Duston,"4,151","3,497","1,574",153,461
E05008838 : Obelisk,"1,230","1,050",496,68,103
E05008839 : Old Duston,"3,317","2,670","1,470",254,341
E05008840 : Park,"1,874","1,686",986,34,128
E05008841 : Parklands,"1,984","1,743","1,012",49,160
E05008842 : Phippsville,"1,818","1,324",537,108,359
E05008843 : Rectory Farm,"2,128","1,326",425,474,223
E05008844 : Riverside,"1,783","1,180",385,272,299
E05008845 : Rushmills,"1,774","1,295",578,101,343
E05008846 : St David's,"2,106",917,329,827,310
E05008847 : St James,"2,545","1,098",373,608,762
E05008848 : Semilong,"2,681","1,007",330,649,936
E05008849 : Spencer,"2,288","1,017",381,810,364
E05008850 : Spring Park,"1,800","1,602",847,67,112
E05008851 : Sunnyside,"1,877","1,200",578,334,297
E05008852 : Talavera,"4,393","2,295",609,"1,366",629
E05008853 : Trinity,"1,618",959,344,121,494
E05008854 : Upton,"2,271","1,399",315,257,411
E05008855 : West Hunsbury,"1,896","1,467",556,165,179
E05008856 : Westone,"1,843","1,437",818,228,155
E05006027 : Astwell,776,606,288,69,80
E05006028 : Blakesley and Cote,"1,435","1,138",565,106,161
E05006029 : Blisworth and Roade,"1,845","1,380",762,261,167
E05006030 : Brackley East,"1,835","1,580",767,66,166
E05006031 : Brackley South,"1,826","1,126",404,358,297
E05006032 : Brackley West,"1,653","1,394",360,37,207
E05006033 : Brafield and Yardley,"1,766","1,241",667,208,273
E05006034 : Cosgrove and Grafton,827,682,329,58,74
E05006035 : Danvers and Wardoun,"1,498","1,146",595,118,181
E05006036 : Deanshanger,"1,581","1,255",491,152,127
E05006037 : Grange Park,"1,562","1,180",178,51,288
E05006038 : Hackleton,907,753,365,71,68
E05006039 : Harpole and Grange,"1,853","1,463",788,212,141
E05006040 : Heyfords and Bugbrooke,"1,738","1,371",726,206,129
E05006041 : Kings Sutton,904,609,309,180,83
E05006042 : Kingthorn,714,536,303,106,55
E05006043 : Little Brook,918,688,365,59,129
E05006044 : Middleton Cheney,"1,539","1,243",619,158,118
E05006045 : Old Stratford,822,657,287,40,101
E05006046 : Salcey,891,727,285,80,64
E05006047 : Silverstone,858,657,282,95,89
E05006048 : Steane,845,612,310,91,103
E05006049 : Tove,695,531,273,78,76
E05006050 : Towcester Brook,"2,426","1,651",688,442,218
E05006051 : Towcester Mill,"1,449","1,059",396,68,266
E05006052 : Washington,722,547,285,61,98
E05006053 : Whittlewood,832,653,342,74,81
E05008595 : Brickhill,"2,368","1,565",724,539,213
E05006055 : Castle,"3,248","1,637",716,386,"1,109"
E05006056 : Croyland,"3,164","1,920",612,896,289
E05006057 : Earls Barton,"2,297","1,784",845,232,257
E05006058 : Finedon,"1,987","1,297",631,384,246
E05008596 : Great Doddington and Wilby,791,669,422,52,53
E05006060 : Hemmingwell,"3,276","2,077",913,752,382
E05006061 : Irchester,"2,077","1,630",821,204,191
E05006062 : North,994,770,400,125,72
E05008597 : Queensway,"2,458","1,228",472,916,231
E05006064 : Redwell East,"1,738","1,521",700,43,157
E05006065 : Redwell West,"1,321","1,173",398,16,123
E05006066 : South,890,704,353,65,103
E05008598 : Swanspool,"2,964","1,410",659,832,632
E05006068 : West,772,614,364,59,86
E05006069 : Wollaston,"1,712","1,287",554,175,216
E05006362 : Hucknall Central,"3,227","2,241","1,108",413,508
E05006363 : Hucknall East,"3,566","2,204",850,778,500
E05006364 : Hucknall North,"3,044","2,286","1,049",302,418
E05006365 : Hucknall West,"3,994","3,048","1,478",576,312
E05006366 : Jacksdale,"1,347","1,026",523,129,171
E05006367 : Kirkby in Ashfield Central,"3,048","2,420","1,185",228,364
E05006368 : Kirkby in Ashfield East,"2,756","1,578",747,772,361
E05006369 : Kirkby in Ashfield West,"2,845","1,827",758,662,313
E05006370 : Selston,"2,785","2,124","1,072",394,220
E05006371 : Sutton in Ashfield Central,"4,931","2,925","1,429","1,145",778
E05006372 : Sutton in Ashfield East,"5,277","3,081","1,379","1,205",845
E05006373 : Sutton in Ashfield North,"4,727","3,352","1,751",622,671
E05006374 : Sutton in Ashfield West,"4,973","3,642","1,724",634,606
E05006375 : Underwood,"1,295","1,073",597,80,120
E05006376 : Woodhouse,"3,116","2,434","1,302",318,317
E05006377 : Beckingham,994,812,429,100,67
E05006378 : Blyth,951,776,441,66,88
E05006379 : Carlton,"2,474","1,797",997,465,174
E05006380 : Clayworth,822,684,390,58,66
E05006381 : East Markham,990,798,448,87,88
E05006382 : East Retford East,"3,097","2,071","1,093",562,412
E05006383 : East Retford North,"2,793","1,854",940,604,261
E05006384 : East Retford South,"1,873","1,188",556,481,178
E05006385 : East Retford West,"2,197","1,375",629,251,543
E05006386 : Everton,947,757,413,75,105
E05006387 : Harworth,"3,338","2,217","1,035",650,416
E05006388 : Langold,"1,021",683,319,181,134
E05006389 : Misterton,"1,032",833,411,128,54
E05006390 : Rampton,840,680,359,51,91
E05006391 : Ranskill,"1,010",771,412,144,75
E05006392 : Sturton,961,761,423,77,95
E05006393 : Sutton,868,662,379,55,116
E05006394 : Tuxford and Trent,"1,832","1,344",716,240,209
E05006395 : Welbeck,887,444,238,110,245
E05006396 : Worksop East,"2,781","1,758",874,715,238
E05006397 : Worksop North,"3,501","2,777","1,007",295,387
E05006398 : Worksop North East,"2,777","2,084","1,106",447,203
E05006399 : Worksop North West,"3,264","2,118",820,453,647
E05006400 : Worksop South,"3,008","2,298","1,209",98,536
E05006401 : Worksop South East,"3,409","1,573",651,"1,186",547
E05006402 : Attenborough,"1,008",887,507,5,110
E05006403 : Awsworth,950,773,356,52,113
E05006404 : Beeston Central,"2,180",912,465,473,742
E05006405 : Beeston North,"2,341","1,316",650,445,536
E05006406 : Beeston Rylands,"2,453","1,660",758,261,510
E05006407 : Beeston West,"2,373","1,561",813,157,620
E05006408 : Bramcote,"3,104","2,633","1,630",152,281
E05006409 : Brinsley,983,819,453,73,68
E05006410 : Chilwell East,"2,124","1,618",874,173,300
E05006411 : Chilwell West,"3,356","2,179","1,116",694,417
E05006412 : Cossall and Kimberley,"2,905","2,208","1,085",344,323
E05006413 : Eastwood North and Greasley (Beauvale),"1,295","1,118",595,54,112
E05006414 : Eastwood South,"4,027","2,569","1,318",852,507
E05006415 : Greasley (Giltbrook and Newthorpe),"2,677","2,363","1,284",84,190
E05006416 : Nuthall East and Strelley,"2,022","1,776",775,5,222
E05006417 : Nuthall West and Greasley (Watnall),"2,146","1,615",784,301,193
E05006418 : Stapleford North,"2,030","1,340",667,423,228
E05006419 : Stapleford South East,"2,162","1,562",781,356,211
E05006420 : Stapleford South West,"2,327","1,660",684,205,431
E05006421 : Toton and Chilwell Meadows,"3,350","2,797","1,279",76,424
E05006422 : Trowell,"1,007",904,477,33,56
E05006423 : Bestwood Village,849,692,375,53,86
E05006424 : Bonington,"2,967","2,095",907,412,411
E05006425 : Burton Joyce and Stoke Bardolph,"1,585","1,355",807,51,155
E05006426 : Calverton,"2,987","2,295","1,186",326,313
E05006427 : Carlton,"3,135","2,132","1,037",398,538
E05006428 : Carlton Hill,"3,151","2,350","1,094",286,477
E05006429 : Daybrook,"2,294","1,365",617,472,405
E05006430 : Gedling,"2,789","2,243","1,151",214,292
E05006431 : Killisick,"1,026",484,195,439,87
E05006432 : Kingswell,"2,167","1,729",914,109,289
E05006433 : Lambley,927,762,453,51,96
E05006434 : Mapperley Plains,"3,153","2,613","1,407",136,371
E05006435 : Netherfield and Colwick,"3,451","2,072",688,477,840
E05006436 : Newstead,949,716,372,116,99
E05006437 : Phoenix,"2,019","1,568",629,156,265
E05006438 : Porchester,"3,125","2,487","1,205",201,395
E05006439 : Ravenshead,"2,465","2,250","1,358",34,133
E05006440 : St James,"1,838","1,475",788,166,173
E05006441 : St Marys,"2,781","2,093","1,081",357,285
E05006442 : Valley,"1,896","1,176",495,423,251
E05006443 : Woodborough,886,642,402,39,191
E05006444 : Woodthorpe,"2,909","2,544","1,442",10,336
E05008857 : Abbott,"1,100",749,437,257,75
E05008858 : Berry Hill,"1,026",940,636,11,70
E05008859 : Brick Kiln,"1,322",886,389,305,102
E05008860 : Broomhill,"1,382",765,377,277,320
E05008861 : Bull Farm and Pleasley Hill,"1,452",834,358,442,150
E05008862 : Carr Bank,"1,448",562,222,590,263
E05008863 : Eakring,"1,182","1,020",481,65,92
E05008864 : Grange Farm,"1,214",993,531,74,125
E05008865 : Holly,"1,241","1,107",433,19,109
E05008866 : Hornby,"1,132","1,063",544,21,40
E05008867 : Kings Walk,"1,198",905,201,10,276
E05008868 : Kingsway,"1,286",984,486,137,153
E05008869 : Ladybrook,"1,565",772,383,384,386
E05008870 : Lindhurst,"1,228","1,084",615,56,75
E05008871 : Ling Forest,"1,074",959,498,48,64
E05008872 : Manor,"1,128","1,035",629,20,61
E05008873 : Market Warsop,"1,315",782,400,261,235
E05008874 : Maun Valley,"1,112",885,378,80,137
E05008875 : Meden,"1,158",777,483,257,106
E05008876 : Netherfield,"1,199",830,468,216,139
E05008877 : Newgate,"1,366",567,238,385,395
E05008878 : Newlands,"1,287","1,003",583,160,113
E05008879 : Oak Tree,"1,277",304,115,893,58
E05008880 : Oakham,"1,116",966,485,10,127
E05008881 : Park Hall,"1,472",891,413,295,226
E05008882 : Peafields,"1,179",806,327,239,117
E05008883 : Penniment,"1,222",789,448,286,125
E05008884 : Portland,"1,054",439,199,163,413
E05008885 : Racecourse,"1,336",837,350,271,215
E05008886 : Ransom Wood,"1,251",609,323,525,97
E05008887 : Sandhurst,"1,246",930,429,29,276
E05008888 : Sherwood,"1,081",702,331,193,167
E05008889 : Warsop Carrs,"1,263",808,391,291,130
E05008890 : Woodhouse,"1,423",662,266,551,172
E05008891 : Woodlands,"1,039",607,330,145,273
E05008892 : Yeoman Hill,"1,554","1,056",481,233,233
E05006464 : Balderton North,"2,202","1,746",922,195,225
E05006465 : Balderton West,"2,101","1,574",702,237,247
E05006466 : Beacon,"3,141","2,182",924,232,673
E05006467 : Blidworth,"1,870","1,243",524,373,221
E05006468 : Boughton,"2,086","1,365",763,471,195
E05006469 : Bridge,"2,132","1,209",493,497,360
E05006470 : Castle,"2,328","1,230",708,433,618
E05006471 : Caunton,937,699,426,65,159
E05006472 : Clipstone,"1,827","1,204",442,398,188
E05006473 : Collingham and Meering,"1,997","1,613",966,169,187
E05006474 : Devon,"2,441","1,282",604,941,159
E05006475 : Edwinstowe,"2,268","1,683",890,319,237
E05006476 : Farndon,"2,524","1,903",762,199,351
E05006477 : Farnsfield and Bilsthorpe,"3,433","2,577","1,398",498,300
E05006478 : Lowdham,"1,979","1,674",938,130,141
E05006479 : Magnus,"2,342","1,377",693,456,457
E05006480 : Muskham,"1,029",874,478,36,100
E05006481 : Ollerton,"2,860","1,838",933,517,428
E05006482 : Rainworth,"2,904","2,190","1,003",322,341
E05006483 : Southwell East,"1,003",758,444,77,138
E05006484 : Southwell North,"1,084",831,536,102,133
E05006485 : Southwell West,"1,145",820,471,131,165
E05006486 : Sutton-on-Trent,"1,032",793,415,118,103
E05006487 : Trent,949,854,481,29,51
E05006488 : Winthorpe,"1,159",936,483,105,101
E05006489 : Abbey,"1,862","1,532",754,86,221
E05006490 : Bingham East,"1,926","1,574",801,146,183
E05006491 : Bingham West,"1,963","1,395",556,298,231
E05006492 : Compton Acres,"1,867","1,530",649,15,302
E05006493 : Cotgrave,"2,928","2,173",957,454,253
E05006494 : Cranmer,820,674,368,62,70
E05006495 : Edwalton Village,"1,699","1,151",697,362,154
E05006496 : Gamston,"2,199","1,636",663,99,394
E05006497 : Gotham,892,698,417,71,103
E05006498 : Keyworth North,719,671,452,6,36
E05006499 : Keyworth South,"2,260","1,776","1,054",236,196
E05006500 : Lady Bay,"1,973","1,515",619,50,392
E05006501 : Leake,"2,649","2,146","1,218",240,211
E05006502 : Lutterell,"1,760","1,310",737,234,192
E05006503 : Manvers,"1,766","1,520",849,80,137
E05006504 : Melton,"2,027","1,486",682,89,431
E05006505 : Musters,"1,563","1,273",600,65,219
E05006506 : Nevile,772,673,388,22,63
E05006507 : Oak,944,754,438,88,85
E05006508 : Ruddington,"3,146","2,320","1,124",361,389
E05006509 : Soar Valley,861,643,377,60,136
E05006510 : Stanford,"1,038",875,472,37,115
E05006511 : Thoroton,851,694,330,37,105
E05006512 : Tollerton,793,736,455,7,40
E05006513 : Trent,"2,074","1,608",917,223,219
E05006514 : Trent Bridge,"1,992",719,274,273,970
E05006515 : Wiverton,"1,625","1,290",663,132,174
E05006516 : Wolds,866,770,462,21,61
E05001842 : Aylestone,"2,894","1,781",978,642,397
E05001843 : Backbury,"1,287",948,572,131,178
E05001844 : Belmont,"4,068","2,200",896,"1,297",479
E05001845 : Bircher,"1,226",985,692,64,134
E05001846 : Bringsty,"1,190",923,567,79,150
E05001847 : Bromyard,"2,598","1,686","1,060",444,399
"E05001848 : Burghill, Holmer and Lyde","1,320","1,093",588,72,118
E05001849 : Castle,"1,351","1,007",692,137,156
E05001850 : Central,"1,497",569,300,266,607
E05001851 : Credenhill,"1,369",924,515,169,231
E05001852 : Frome,"1,385","1,036",586,104,205
E05001853 : Golden Cross with Weobley,"1,297",887,618,160,218
E05001854 : Golden Valley North,"1,299",962,657,105,185
E05001855 : Golden Valley South,"1,274",969,673,93,170
E05001856 : Hagley,"1,471","1,149",586,96,197
E05001857 : Hampton Court,"1,141",860,581,102,144
E05001858 : Hollington,896,633,397,74,172
E05001859 : Hope End,"2,399","1,811","1,169",274,254
E05001860 : Kerne Bridge,"1,320","1,034",595,76,171
E05001861 : Kington Town,"1,459",853,559,245,303
E05001862 : Ledbury,"4,315","2,880","1,751",589,708
E05001863 : Leominster North,"2,497","1,596",960,464,387
E05001864 : Leominster South,"2,687","1,589",923,490,536
E05001865 : Llangarron,"1,372","1,056",646,62,219
E05001866 : Mortimer,"1,389",936,595,96,295
E05001867 : Old Gore,"1,304",898,560,104,240
E05001868 : Pembridge and Lyonshall with Titley,"1,282",905,596,112,204
E05001869 : Penyard,"1,425","1,120",708,130,144
E05001870 : Pontrilas,"1,426","1,107",692,60,211
E05001871 : Ross-on-Wye East,"2,236","1,560",982,295,324
E05001872 : Ross-on-Wye West,"2,548","1,623",878,468,400
E05001873 : St Martins and Hinton,"5,258","2,873","1,228","1,469",764
E05001874 : St Nicholas,"3,032","2,119","1,088",264,567
E05001875 : Stoney Street,"1,239",905,577,187,116
E05001876 : Sutton Walls,"1,292",990,596,125,131
E05001877 : Three Elms,"4,723","2,943","1,474",698,956
E05001878 : Tupsley,"3,906","3,030","1,774",321,484
E05001879 : Upton,"1,225",933,611,82,158
E05001880 : Valletts,"1,318",883,500,187,206
E05001881 : Wormsley Ridge,"1,104",758,447,70,229
E05008136 : Abbey,"1,814","1,249",717,183,339
