QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05004780 : Letchworth Wilbury,"1,645",360,487,362,436
E05004781 : Royston Heath,"1,612",543,535,303,231
E05004782 : Royston Meridian,"1,557",511,454,323,269
E05004783 : Royston Palace,"1,744",414,541,384,405
E05004784 : Weston and Sandon,602,233,180,122,67
E05004785 : Ashley,"2,559","1,232",729,281,317
E05004786 : Batchwood,"2,295",914,625,325,431
E05004787 : Clarence,"2,202","1,283",527,176,216
E05004788 : Colney Heath,"1,826",742,529,262,293
E05004789 : Cunningham,"1,935",685,545,313,392
E05004790 : Harpenden East,"2,207","1,109",603,249,246
E05004791 : Harpenden North,"1,948","1,111",537,171,129
E05004792 : Harpenden South,"1,811","1,011",510,154,136
E05004793 : Harpenden West,"2,185","1,361",559,126,139
E05004794 : London Colney,"3,021",796,"1,051",569,605
E05004795 : Marshalswick North,"1,858",742,584,286,246
E05004796 : Marshalswick South,"2,047","1,180",532,171,164
E05004797 : Park Street,"2,126",703,739,394,290
E05004798 : Redbourn,"1,762",705,553,290,214
E05004799 : St Peters,"3,103","1,658",878,244,323
E05004800 : St Stephen,"1,694",663,611,253,167
E05004801 : Sandridge,"1,610",649,521,257,183
E05004802 : Sopwell,"2,353",902,675,325,451
E05004803 : Verulam,"1,805","1,057",522,116,110
E05004804 : Wheathampstead,"1,762",767,518,261,216
E05004805 : Bandley Hill,"2,103",418,700,478,507
E05004806 : Bedwell,"2,267",300,679,513,775
E05004807 : Chells,"2,041",353,641,516,531
E05004808 : Longmeadow,"1,786",369,583,426,408
E05004809 : Manor,"2,127",591,796,430,310
E05004810 : Martins Wood,"2,118",341,693,509,575
E05004811 : Old Town,"2,580",674,860,511,535
E05004812 : Pin Green,"2,003",319,673,438,573
E05004813 : Roebuck,"2,022",376,609,528,509
E05004814 : St Nicholas,"2,127",302,659,538,628
E05004815 : Shephall,"1,862",258,515,501,588
E05004816 : Symonds Green,"1,988",420,655,444,469
E05004817 : Woodfield,"1,801",551,602,331,317
E05004818 : Abbots Langley,"1,355",461,443,263,188
E05004819 : Ashridge,"1,198",151,344,375,328
E05004820 : Bedmond & Primrose Hill,"1,343",417,477,271,178
E05004821 : Carpenders Park,"1,264",332,485,280,167
E05004822 : Chorleywood East,946,559,280,62,45
E05004823 : Chorleywood West,"1,483",772,501,123,87
E05004824 : Croxley Green,"1,560",546,549,304,161
E05004825 : Croxley Green North,891,283,306,181,121
E05004826 : Croxley Green South,"1,120",454,383,186,97
E05004827 : Hayling,"1,154",167,312,347,328
E05004828 : Langleybury,"1,635",415,599,333,288
E05004829 : Leavesden,"1,829",509,721,338,261
E05004830 : Maple Cross & Mill End,"1,758",410,578,430,340
E05004831 : Moor Park & Eastbury,"1,298",852,349,57,40
E05004832 : Northwick,"1,804",196,489,540,579
E05004833 : Oxhey Hall,969,271,322,211,165
E05004834 : Penn,"1,140",348,379,216,197
E05004835 : Rickmansworth,"1,526",687,504,183,152
E05004836 : Rickmansworth West,901,468,270,99,64
E05004837 : Sarratt,506,202,181,69,54
E05004838 : Callowland,"2,818",694,"1,025",563,536
E05004839 : Central,"3,436",901,"1,169",612,754
E05004840 : Holywell,"2,929",554,905,620,850
E05004841 : Leggatts,"2,198",468,691,503,536
E05004842 : Meriden,"2,392",425,769,606,592
E05004843 : Nascot,"2,420","1,047",788,293,292
E05004844 : Oxhey,"2,127",723,749,367,288
E05004845 : Park,"2,214","1,035",714,208,257
E05004846 : Stanborough,"2,128",478,698,538,414
E05004847 : Tudor,"1,880",629,616,405,230
E05004848 : Vicarage,"2,607",562,823,546,676
E05004849 : Woodside,"2,283",448,766,601,468
E05004850 : Brookmans Park and Little Heath,"1,441",598,522,212,109
E05004851 : Haldens,"2,239",472,696,529,542
E05004852 : Handside,"1,923",788,595,273,267
E05004853 : Hatfield Central,"2,478",382,839,501,756
E05004854 : Hatfield East,"2,051",565,684,338,464
E05004855 : Hatfield South,"1,848",229,783,348,488
E05004856 : Hatfield Villages,"2,363",630,"1,001",346,386
E05004857 : Hatfield West,"2,450",378,"1,019",463,590
E05004858 : Hollybush,"2,171",558,698,460,455
E05004859 : Howlands,"1,777",431,568,416,362
E05004860 : Northaw and Cuffley,"1,302",498,478,204,122
E05004861 : Panshanger,"2,300",665,769,461,405
E05004862 : Peartree,"2,596",430,782,626,758
E05004863 : Sherrards,"1,647",588,525,273,261
E05004864 : Welham Green,"1,089",240,405,259,185
E05004865 : Welwyn East,"1,615",838,454,214,109
E05004866 : Welwyn West,"1,092",409,344,191,148
E05005721 : All Saints,648,150,203,185,110
E05005722 : Buckenham,468,130,148,120,70
E05005723 : Burgh and Haverscroft,"1,064",147,294,323,300
E05005724 : Conifer,575,106,193,175,101
E05005725 : Dereham-Central,"1,963",242,552,520,649
E05005726 : Dereham-Humbletoft,797,126,229,201,241
E05005727 : Dereham-Neatherd,"1,150",208,320,332,290
E05005728 : Dereham-Toftwood,"1,509",180,468,429,432
E05005729 : East Guiltcross,639,135,175,199,130
E05005730 : Eynsford,639,131,190,179,139
E05005731 : Haggard de Toni,568,97,169,171,131
E05005732 : Harling and Heathlands,"1,190",249,361,353,227
E05005733 : Hermitage,554,122,163,146,123
E05005734 : Launditch,556,129,138,165,124
E05005735 : Mid Forest,619,119,149,186,165
E05005736 : Nar Valley,605,107,165,166,167
E05005737 : Necton,443,61,133,140,109
E05005738 : Queen's,"2,240",394,670,601,575
E05005739 : Shipdham,544,92,150,180,122
E05005740 : Springvale and Scarning,"1,418",261,447,396,314
E05005741 : Swaffham,"1,843",251,476,465,651
E05005742 : Swanton Morley,632,142,250,147,93
E05005743 : Taverner,598,133,175,187,103
E05005744 : Templar,"1,067",158,323,275,311
E05005745 : Thetford-Abbey,"1,801",110,362,420,909
E05005746 : Thetford-Castle,722,93,186,189,254
E05005747 : Thetford-Guildhall,"2,629",312,860,687,770
E05005748 : Thetford-Saxon,"2,269",194,518,586,971
E05005749 : Two Rivers,"1,159",247,343,342,227
E05005750 : Upper Wensum,648,147,159,201,141
E05005751 : Upper Yare,679,182,211,174,112
E05005752 : Watton,"1,879",191,524,575,589
E05005753 : Wayland,630,152,203,175,100
E05005754 : Weeting,698,100,210,212,176
E05005755 : West Guiltcross,640,153,204,177,106
E05005756 : Wissey,586,113,156,182,135
E05005757 : Acle,768,136,259,206,167
E05005758 : Aylsham,"2,035",406,636,545,448
E05005759 : Blofield with South Walsham,"1,506",419,512,347,228
E05005760 : Brundall,"1,641",411,566,399,265
E05005761 : Burlingham,777,145,230,244,158
E05005762 : Buxton,755,172,241,204,138
E05005763 : Coltishall,747,172,236,178,161
E05005764 : Drayton North,"1,062",197,419,221,225
E05005765 : Drayton South,544,144,180,123,97
E05005766 : Eynesford,957,196,258,271,232
E05005767 : Great Witchingham,734,206,220,196,112
E05005768 : Hellesdon North West,"1,502",191,464,496,351
E05005769 : Hellesdon South East,"1,398",216,453,430,299
E05005770 : Hevingham,800,150,217,267,166
E05005771 : Horsford and Felthorpe,"1,472",283,520,384,285
E05005772 : Marshes,907,207,261,236,203
E05005773 : Old Catton and Sprowston West,"2,522",488,878,645,511
E05005774 : Plumstead,898,294,313,177,114
E05005775 : Reepham,802,193,234,202,173
E05005776 : Spixworth with St Faiths,"1,570",262,495,483,330
E05005777 : Sprowston Central,"1,677",266,548,448,415
E05005778 : Sprowston East,"1,799",270,579,557,393
E05005779 : Taverham North,"1,755",406,669,369,311
E05005780 : Taverham South,"1,285",338,441,306,200
E05005781 : Thorpe St Andrew North West,"2,013",414,649,558,392
E05005782 : Thorpe St Andrew South East,"2,357",721,844,423,369
E05005783 : Wroxham,"1,335",312,475,328,220
E05005784 : Bradwell North,"1,800",268,616,528,388
E05005785 : Bradwell South and Hopton,"1,872",278,620,529,445
E05005786 : Caister North,"1,278",162,424,349,343
E05005787 : Caister South,"1,132",130,344,323,335
E05005788 : Central and Northgate,"2,812",168,624,606,"1,414"
E05005789 : Claydon,"2,437",160,609,612,"1,056"
E05005790 : East Flegg,"1,280",186,363,400,331
E05005791 : Fleggburgh,704,167,211,180,146
E05005792 : Gorleston,"1,562",355,514,331,362
E05005793 : Lothingland,"1,621",235,509,496,381
E05005794 : Magdalen,"1,937",201,493,471,772
E05005795 : Nelson,"2,949",141,601,567,"1,640"
E05005796 : Ormesby,"1,146",168,416,304,258
E05005797 : St Andrews,"1,655",181,451,419,604
E05005798 : Southtown and Cobholm,"1,897",107,461,456,873
E05005799 : West Flegg,"1,344",200,394,400,350
E05005800 : Yarmouth North,"1,181",107,293,310,471
E05005801 : Airfield,"1,361",260,602,280,219
E05005802 : Brancaster,325,75,99,88,63
E05005803 : Burnham,439,99,112,116,112
E05005804 : Clenchwarton,569,80,142,181,166
E05005805 : Denton,"2,297",363,746,628,560
E05005806 : Dersingham,"1,181",208,358,305,310
E05005807 : Docking,511,87,133,154,137
E05005808 : Downham Old Town,819,133,230,192,264
E05005809 : East Downham,978,196,295,227,260
E05005810 : Emneth with Outwell,"1,278",169,301,432,376
E05005811 : Fairstead,"2,125",198,515,471,941
E05005812 : Gayton,630,133,174,169,154
E05005813 : Gaywood Chase,"1,502",187,326,395,594
E05005814 : Gaywood North Bank,"2,219",285,668,652,614
E05005815 : Grimston,633,126,176,196,135
E05005816 : Heacham,"1,168",165,314,350,339
E05005817 : Hilgay with Denver,651,118,164,190,179
E05005818 : Hunstanton,"1,302",211,389,314,388
E05005819 : Mershe Lande,676,93,188,215,180
E05005820 : North Downham,521,81,168,147,125
E05005821 : North Lynn,"1,871",86,290,417,"1,078"
E05005822 : North Wootton,709,207,225,151,126
E05005823 : Old Gaywood,559,75,141,150,193
E05005824 : Priory,676,143,175,174,184
E05005825 : Rudham,588,116,168,166,138
E05005826 : St Lawrence,683,74,181,208,220
E05005827 : St Margarets with St Nicholas,"1,870",211,394,389,876
E05005828 : Snettisham,"1,070",201,319,284,266
E05005829 : South and West Lynn,"1,495",138,325,375,657
E05005830 : South Downham,350,57,112,93,88
E05005831 : South Wootton,"1,123",348,365,222,188
E05005832 : Spellowfields,"1,323",171,378,406,368
E05005833 : Springwood,580,136,186,133,125
E05005834 : Upwell and Delph,"1,356",240,357,411,348
E05005835 : Valley Hill,622,133,170,191,128
E05005836 : Walpole,649,95,179,192,183
E05005837 : Walton,681,109,183,218,171
E05005838 : Watlington,736,128,218,219,171
E05005839 : West Winch,"1,219",283,369,329,238
E05005840 : Wiggenhall,569,101,151,159,158
E05005841 : Wimbotsham with Fincham,706,136,200,219,151
E05005842 : Wissey,626,126,177,165,158
E05005843 : Astley,645,152,163,189,141
E05005844 : Briston,692,105,184,216,187
E05008556 : Chaucer,558,107,153,166,132
E05005846 : Corpusty,647,138,183,203,123
E05005847 : Cromer Town,"1,171",141,304,270,456
E05005848 : Erpingham,671,178,200,185,108
E05005849 : Gaunt,628,125,177,190,136
E05005850 : Glaven Valley,514,129,137,139,109
E05005851 : Happisburgh,687,134,208,205,140
E05005852 : High Heath,440,126,126,100,88
E05005853 : Holt,808,188,182,206,232
E05005854 : Hoveton,448,88,123,111,126
E05005855 : Lancaster North,"1,036",152,281,292,311
E05005856 : Lancaster South,"1,102",136,262,331,373
E05005857 : Mundesley,"1,086",178,287,292,329
E05005858 : North Walsham East,"1,143",143,315,307,378
E05005859 : North Walsham North,"1,264",137,362,381,384
E05005860 : North Walsham West,"1,106",160,297,326,323
E05005861 : Poppyland,587,105,166,177,139
E05005862 : Priory,"1,029",182,227,313,307
E05005863 : Roughton,630,132,201,168,129
E05005864 : Scottow,772,112,242,218,200
E05005865 : St Benet,538,127,164,144,103
E05005866 : Sheringham North,950,199,274,254,223
E05005867 : Sheringham South,837,145,253,207,232
E05005868 : Stalham and Sutton,"1,261",144,307,443,367
E05005869 : Suffield Park,989,133,276,251,329
E05005870 : The Raynhams,785,118,165,273,229
E05008557 : The Runtons,526,131,164,141,90
E05005872 : Walsingham,612,97,135,204,176
E05005873 : Waterside,"1,060",208,309,310,233
E05005874 : Waxham,617,121,174,173,149
E05005875 : Wensum,636,147,146,187,156
E05005876 : Worstead,679,146,222,187,124
E05005877 : Bowthorpe,"3,797",542,"1,189",785,"1,281"
E05005878 : Catton Grove,"3,805",448,"1,000",959,"1,398"
E05005879 : Crome,"2,829",278,719,722,"1,110"
E05005880 : Eaton,"2,398","1,005",766,320,307
E05005881 : Lakenham,"3,113",462,805,670,"1,176"
E05005882 : Mancroft,"4,395",815,"1,343",718,"1,519"
E05005883 : Mile Cross,"3,722",412,933,802,"1,575"
E05005884 : Nelson,"3,544","1,341","1,462",330,411
E05005885 : Sewell,"4,176",803,"1,452",829,"1,092"
E05005886 : Thorpe Hamlet,"4,900","1,339","1,648",678,"1,235"
E05005887 : Town Close,"4,101","1,306","1,454",474,867
E05005888 : University,"2,010",307,678,390,635
E05005889 : Wensum,"3,857",516,"1,084",829,"1,428"
E05005890 : Abbey,914,221,304,185,204
E05005891 : Brooke,693,252,207,147,87
E05005892 : Bunwell,768,193,230,206,139
E05005893 : Dickleburgh,815,164,249,255,147
E05005894 : Ditchingham and Broome,635,134,154,203,144
E05005895 : Easton,786,235,266,169,116
E05005896 : Forncett,751,228,223,187,113
E05005897 : Hempnall,721,176,189,212,144
E05005898 : Hingham and Deopham,803,206,265,195,137
E05005899 : New Costessey,"1,404",219,392,438,355
E05005900 : Newton Flotman,775,215,246,172,142
E05005901 : Northfields,825,150,258,211,206
E05005902 : Old Costessey,"2,478",540,768,529,641
E05005903 : Poringland with the Framinghams,"1,303",374,437,292,200
E05005904 : Rockland,780,276,249,151,104
E05005905 : Rustens,859,216,260,194,189
E05005906 : Scole,659,142,179,197,141
E05005907 : Stoke Holy Cross,848,271,275,178,124
E05005908 : Stratton,"1,701",336,530,472,363
E05005909 : Tasburgh,653,207,221,138,87
E05005910 : Thurlton,760,195,203,210,152
E05005911 : Town,969,286,311,212,160
E05005912 : Wicklewood,724,246,203,171,104
E05005913 : Beck Vale,647,168,175,170,134
E05005914 : Bressingham and Burston,784,200,224,209,151
E05005915 : Chedgrave and Thurton,682,185,203,171,123
E05005916 : Cringleford,"1,466",631,491,198,146
E05005917 : Cromwells,773,199,236,182,156
E05005918 : Diss,"2,276",318,651,619,688
E05005919 : Earsham,671,138,158,212,163
E05005920 : Gillingham,781,168,207,244,162
E05005921 : Harleston,"1,364",206,353,428,377
E05005922 : Hethersett,"1,652",505,555,315,277
E05005923 : Loddon,764,174,254,182,154
E05005924 : Mulbarton,"1,509",441,529,303,236
E05005925 : Roydon,680,100,207,215,158
E05007076 : Alton,"1,105",308,361,247,189
E05007077 : Berners,"1,167",267,392,305,203
E05007078 : Boxford,590,177,182,153,78
E05007079 : Brett Vale,594,168,159,151,116
E05007080 : Brook,"1,110",292,383,258,177
E05007081 : Bures St Mary,467,147,144,116,60
E05007082 : Chadacre,557,179,150,159,69
E05007083 : Dodnash,901,339,272,177,113
E05007084 : Glemsford and Stanstead,"1,136",179,312,371,274
E05007085 : Great Cornard North,"1,245",156,325,364,400
E05007086 : Great Cornard South,"1,405",217,382,400,406
E05007087 : Hadleigh North,"1,318",258,422,300,338
E05007088 : Hadleigh South,"1,004",271,308,248,177
E05007089 : Holbrook,550,234,142,111,63
E05007090 : Lavenham,468,113,138,118,99
E05007091 : Leavenheath,503,150,191,105,57
E05007092 : Long Melford,"1,094",250,344,269,231
E05007093 : Lower Brett,591,223,166,126,76
E05007094 : Mid Samford,"1,023",358,350,186,129
E05007095 : Nayland,508,185,163,87,73
E05007096 : North Cosford,614,181,201,126,106
E05007097 : Pinewood,"1,666",380,584,349,353
E05007098 : South Cosford,594,168,191,141,94
E05007099 : Sudbury East,"1,310",146,342,366,456
E05007100 : Sudbury North,"1,303",224,333,359,387
E05007101 : Sudbury South,"1,445",251,407,332,455
E05007102 : Waldingfield,"1,126",241,370,280,235
E05007103 : All Saints,"1,410",312,524,280,294
E05007104 : Brandon East,"1,747",162,491,507,587
E05007105 : Brandon West,"1,139",111,352,317,359
E05007106 : Eriswell and The Rows,"2,346",334,"1,145",513,354
E05007107 : Exning,601,157,200,139,105
E05007108 : Great Heath,"1,375",148,440,380,407
E05007109 : Iceni,549,144,177,126,102
E05007110 : Lakenheath,"1,471",160,543,419,349
E05007111 : Manor,567,128,223,132,84
E05007112 : Market,"1,371",192,520,336,323
E05007113 : Red Lodge,"1,579",280,676,369,254
E05007114 : St Mary's,"1,819",274,635,444,466
E05007115 : Severals,"2,492",365,833,600,694
E05007116 : South,476,142,180,97,57
E05007117 : Alexandra,"3,879",880,"1,277",685,"1,037"
E05007118 : Bixley,"1,848",501,624,427,296
E05007119 : Bridge,"3,230",418,866,742,"1,204"
E05007120 : Castle Hill,"2,029",405,615,572,437
E05007121 : Gainsborough,"2,702",209,585,782,"1,126"
E05007122 : Gipping,"3,177",409,792,697,"1,279"
E05007123 : Holywells,"3,000",684,958,635,723
E05007124 : Priory Heath,"2,882",422,794,695,971
E05007125 : Rushmere,"2,358",523,679,586,570
E05007126 : St John's,"3,037",603,"1,004",712,718
E05007127 : St Margaret's,"2,443",976,722,321,424
E05007128 : Sprites,"1,902",164,471,525,742
E05007129 : Stoke Park,"2,449",231,631,642,945
E05007130 : Westgate,"3,791",570,"1,033",706,"1,482"
E05007131 : Whitehouse,"3,026",311,809,794,"1,112"
E05007132 : Whitton,"2,086",230,498,580,778
E05007133 : Bacton and Old Newton,666,151,188,187,140
E05007134 : Badwell Ash,729,195,217,187,130
E05007135 : Barking and Somersham,623,163,204,147,109
E05007136 : Bramford and Blakenham,"1,161",229,403,309,220
E05007137 : Claydon and Barham,"1,336",365,412,343,216
E05007138 : Debenham,664,171,187,203,103
E05007139 : Elmswell and Norton,"1,557",430,460,383,284
E05007140 : Eye,604,129,172,155,148
E05007141 : Fressingfield,619,154,158,209,98
E05007142 : Gislingham,778,217,234,211,116
E05007143 : Haughley and Wetherden,585,153,178,157,97
E05007144 : Helmingham and Coddenham,669,236,181,162,90
E05007145 : Hoxne,550,165,145,147,93
E05007146 : Mendlesham,666,157,181,195,133
E05007147 : Needham Market,"1,369",251,433,361,324
E05007148 : Onehouse,634,179,198,148,109
E05007149 : Palgrave,633,171,191,172,99
E05007150 : Rattlesden,581,184,168,144,85
E05007151 : Rickinghall and Walsham,"1,271",336,369,346,220
E05007152 : Ringshall,836,248,317,166,105
E05007153 : Stowmarket Central,"1,374",251,405,310,408
E05007154 : Stowmarket North,"3,244",712,"1,085",729,718
E05007155 : Stowmarket South,"1,481",197,383,403,498
E05007156 : Stowupland,621,126,175,177,143
E05007157 : Stradbroke and Laxfield,675,130,186,220,139
E05007158 : The Stonhams,642,201,215,155,71
E05007159 : Thurston and Hessett,"1,246",371,377,311,187
